sku_id,origin,date,actual,prediction,method
SKU-1001,2026-05-13,2026-05-17,441.0,412.0,seasonal7
SKU-1001,2026-05-13,2026-05-18,425.0,428.0,seasonal7
SKU-1001,2026-05-13,2026-05-19,499.0,375.0,seasonal7
SKU-1001,2026-05-13,2026-05-20,451.0,414.0,seasonal7
SKU-1001,2026-05-13,2026-05-21,477.0,455.0,seasonal7
SKU-1001,2026-05-13,2026-05-22,446.0,435.0,seasonal7
SKU-1001,2026-05-13,2026-05-23,446.0,384.0,seasonal7
SKU-1001,2026-05-13,2026-05-24,425.0,412.0,seasonal7
SKU-1001,2026-05-13,2026-05-25,404.0,428.0,seasonal7
SKU-1001,2026-05-13,2026-05-26,459.0,375.0,seasonal7
SKU-1001,2026-05-13,2026-05-27,454.0,414.0,seasonal7
SKU-1001,2026-05-13,2026-05-14,441.0,421.74016251632173,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-15,411.0,411.8759157470095,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-16,359.0,364.47317450284226,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-17,441.0,414.2705553841288,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-18,425.0,437.5686157250164,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-19,499.0,434.7230511032286,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-20,451.0,433.3891926867655,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-21,477.0,421.74016251632173,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-22,446.0,411.8759157470095,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-23,446.0,364.47317450284226,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-24,425.0,414.2705553841288,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-25,404.0,437.5686157250164,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-26,459.0,434.7230511032286,weekday_shrinkage
SKU-1001,2026-05-13,2026-05-27,454.0,433.3891926867655,weekday_shrinkage
SKU-1002,2026-05-13,2026-05-14,308.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-15,,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-16,261.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-17,294.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-18,319.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-19,223.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-20,171.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-21,426.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-22,253.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-23,202.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-24,207.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-25,242.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-26,309.0,242.55555555555554,mean28
SKU-1002,2026-05-13,2026-05-27,329.0,242.55555555555554,mean28
