machine_id,timestamp,target,risk_score
MCH-200,2026-04-01 00:00:00,0.0,0.001617774946851517
MCH-200,2026-04-01 01:00:00,0.0,0.0018249695343987402
MCH-200,2026-04-01 02:00:00,0.0,0.0017409966823358988
MCH-200,2026-04-01 03:00:00,0.0,0.0016559309304188443
MCH-200,2026-04-01 04:00:00,0.0,0.001750904098953953
MCH-200,2026-04-01 05:00:00,0.0,0.001654604394826822
MCH-200,2026-04-01 06:00:00,0.0,0.002480325673789597
MCH-200,2026-04-01 07:00:00,0.0,0.001683925970864218
MCH-200,2026-04-01 08:00:00,0.0,0.0013043162521180517
MCH-200,2026-04-01 09:00:00,0.0,0.0018270957212418084
MCH-200,2026-04-01 10:00:00,0.0,0.0015550745604981455
MCH-200,2026-04-01 11:00:00,0.0,0.001805769357091099
MCH-200,2026-04-01 12:00:00,0.0,0.0016892266273131498
MCH-200,2026-04-01 13:00:00,0.0,0.001765425690148742
MCH-200,2026-04-01 14:00:00,0.0,0.002081966722300969
MCH-200,2026-04-01 15:00:00,0.0,0.0018607506512292335
MCH-200,2026-04-01 16:00:00,0.0,0.0013534009337801624
MCH-200,2026-04-01 17:00:00,0.0,0.00237544934372498
MCH-200,2026-04-01 18:00:00,0.0,0.0019142837422559229
MCH-200,2026-04-01 19:00:00,0.0,0.002024908623466565
MCH-200,2026-04-01 20:00:00,0.0,0.0019741024397344855
MCH-200,2026-04-01 21:00:00,0.0,0.0016545243497449616
MCH-200,2026-04-01 22:00:00,0.0,0.0017217069277985484
MCH-200,2026-04-01 23:00:00,0.0,0.00221318625499923
MCH-200,2026-04-02 00:00:00,0.0,0.0013105298490968197
MCH-200,2026-04-02 01:00:00,0.0,0.0014190546622292483
MCH-200,2026-04-02 02:00:00,0.0,0.0018648634132852786
MCH-200,2026-04-02 03:00:00,0.0,0.001902797702152541
MCH-200,2026-04-02 04:00:00,0.0,0.0017653677762850199
MCH-200,2026-04-02 05:00:00,0.0,0.0017870135710542415
MCH-200,2026-04-02 06:00:00,0.0,0.0017894294630616972
MCH-200,2026-04-02 07:00:00,0.0,0.0020113962533705658
MCH-200,2026-04-02 08:00:00,0.0,0.0019643103750730854
MCH-200,2026-04-02 09:00:00,0.0,0.002573251577313314
MCH-200,2026-04-02 10:00:00,0.0,0.002514571552894006
MCH-200,2026-04-02 11:00:00,0.0,0.001713709013965838
MCH-200,2026-04-02 12:00:00,0.0,0.001779681698955381
MCH-200,2026-04-02 13:00:00,0.0,0.001721338671532103
MCH-200,2026-04-02 14:00:00,0.0,0.0018994430294229658
MCH-200,2026-04-02 15:00:00,0.0,0.00177731083051093
MCH-200,2026-04-02 16:00:00,0.0,0.0014300127235403468
MCH-200,2026-04-02 17:00:00,0.0,0.0015292469087247016
MCH-200,2026-04-02 18:00:00,0.0,0.002207235963708759
MCH-200,2026-04-02 19:00:00,0.0,0.002131017771524111
MCH-200,2026-04-02 20:00:00,0.0,0.0016178600899006915
MCH-200,2026-04-02 21:00:00,0.0,0.002130948743826904
MCH-200,2026-04-02 22:00:00,0.0,0.002263008328511286
MCH-200,2026-04-02 23:00:00,0.0,0.0022987273974041716
MCH-200,2026-04-03 00:00:00,0.0,0.0022697260230294045
MCH-200,2026-04-03 01:00:00,0.0,0.0023773236823975883
MCH-200,2026-04-03 02:00:00,0.0,0.0017281067157499926
MCH-200,2026-04-03 03:00:00,0.0,0.0019018327131185607
MCH-200,2026-04-03 04:00:00,0.0,0.002254968441721368
